runNumber() eventNumber() chargedFE.eta() chargedFE.phi() chargedFE.e() chargedFE.pt() charge() signalType()
410000 21642 0.93873 -1.50614 1293.45 872.431 -1 8208 
410000 21642 -1.17949 -1.15322 1468.46 821.208 -1 8208 
410000 21642 1.85476 3.13123 2643.21 806.37 -1 8208 
410000 21642 2.4293 2.89946 4096.77 715.864 -1 8208 
410000 21642 2.22833 0.396334 3350.22 712.795 1 8208 
410000 21642 2.41361 1.92094 4001.51 710.081 1 8208 
410000 21642 -2.1335 -0.295095 2979.15 695.07 -1 8208 
410000 21642 2.43974 0.725879 3686.58 637.513 -1 8208 
410000 21642 -1.73135 2.76455 1696.99 580.654 1 8208 
410000 21642 -1.77282 -1.15674 111973 36971.2 1 8208 
410000 21642 -1.77256 -1.17261 31335.9 10349 -1 8208 
410000 21642 -1.75443 -1.08057 9923.06 3333.37 1 8208 
410000 21642 -1.90868 2.68756 123311 35781.5 -1 8208 
410000 21642 -1.81436 -1.18293 69228 21976.8 -1 8208 
410000 21642 -1.89691 2.67766 55586.8 16312.3 1 8208 
410000 21642 -1.84853 2.65569 42080.9 12932 1 8208 
410000 21642 -1.89989 2.61788 18710.5 5474.95 -1 8208 
410000 21642 -1.88646 2.59175 17815.2 5280.29 -1 8208 
410000 21642 1.59266 0.739123 36607.3 14299.1 1 8208 
410000 21642 0.616177 1.67799 16193.6 13540.2 -1 8208 
410000 21642 -1.26532 1.29479 22372.5 11693.6 1 8208 
410000 21642 -1.26197 1.40216 12197.4 6393.27 1 8208 
410000 21642 -1.20744 0.95114 1956.74 1071.25 -1 8208 
410000 21642 1.56586 0.634425 21532.3 8620.14 -1 8208 
410000 21642 1.54195 0.587105 9372.18 3834.62 -1 8208 
410000 21642 -0.598165 -1.47849 7777.06 6565.75 1 8208 
410000 21642 -0.67271 -1.07374 1369.23 1102.97 1 8208 
410000 21642 -2.31246 -2.78601 30128.5 5908.51 -1 8208 
410000 21642 1.12558 0.751087 6454.13 3788.46 -1 8208 
410000 21642 0.590078 -2.7204 4401.9 3731.06 -1 8208 
410000 21642 -1.37358 1.24153 7711.32 3669.14 1 8208 
410000 21642 -1.75208 -1.14026 10693.9 3600.32 1 8208 
410000 21642 -1.67745 -1.30915 5370.45 1938.58 -1 8208 
410000 21642 -1.77969 -1.36331 5853.28 1919.6 -1 8208 
410000 21642 -1.72533 -1.64077 4315.27 1489.17 -1 8208 
410000 21642 -1.78802 -1.06625 3556.7 1156.73 1 8208 
410000 21642 -1.78707 2.53326 10743.5 3499.58 1 8208 
410000 21642 -1.81496 2.58318 8638.86 2740.53 1 8208 
410000 21642 -0.592912 1.90322 3966.38 3356.47 -1 8208 
410000 21642 -2.25715 -1.04484 15107.7 3127.6 1 8208 
410000 21642 1.49188 0.636061 7191.43 3079.01 -1 8208 
410000 21642 1.60694 0.630697 7690.87 2964.37 1 8208 
410000 21642 -1.82859 2.57408 9456.88 2961.54 1 8208 
410000 21642 -1.8544 2.57703 8724.28 2665.83 1 8208 
410000 21642 -0.615254 -2.38476 3490.94 2918.18 1 8208 
410000 21642 -2.29373 1.11882 13235.9 2643.68 1 8208 
410000 21642 -0.93374 -0.614851 3847.12 2617.96 1 8208 
410000 21642 -1.95117 2.69848 9107.75 2537.03 -1 8208 
410000 21642 -1.32574 2.38335 4791.46 2376.55 1 8208 
410000 21642 -2.22456 2.82507 11028 2356.86 -1 8208 
410000 21642 0.863236 -2.06923 3115.93 2229.31 -1 8208 
410000 21642 -1.43105 1.5694 4800.01 2169.98 1 8208 
410000 21642 -1.91662 -1.39335 7525.95 2166.91 -1 8208 
410000 21642 -0.647309 -1.80856 2621.2 2150.9 -1 8208 
410000 21642 -0.471613 2.59856 2346.02 2103.56 -1 8208 
410000 21642 -1.97203 -2.52232 7649.9 2088.52 1 8208 
410000 21642 -2.20972 0.666522 9510.97 2062.24 -1 8208 
410000 21642 1.19409 1.41722 3610.36 2002.28 1 8208 
410000 21642 -0.733215 -1.26651 2539.93 1979.68 1 8208 
410000 21642 1.55217 -0.252233 4855.58 1967.59 -1 8208 
410000 21642 -1.35197 2.3212 3913.57 1896.85 -1 8208 
410000 21642 -1.3143 1.25765 3775.01 1890.57 -1 8208 
410000 21642 -1.25408 1.17164 3341.06 1761.57 -1 8208 
410000 21642 -1.36609 0.970875 2425.5 1159.97 -1 8208 
410000 21642 -1.30576 1.05652 2151.95 1084.15 -1 8208 
410000 21642 0.762574 3.10332 2444.96 1870.3 1 8208 
410000 21642 0.252928 -0.0335644 1885.33 1821.58 1 8208 
410000 21642 0.442917 -0.327699 2007.49 1821.07 1 8208 
410000 21642 0.736829 -1.35348 2299.51 1787.64 -1 8208 
410000 21642 -1.94846 -1.34556 6395.76 1786 1 8208 
410000 21642 -1.94582 -1.22665 6102.57 1708.43 1 8208 
410000 21642 0.134177 -2.5423 1806.49 1785 -1 8208 
410000 21642 -2.28053 1.79861 8565.87 1733.04 1 8208 
410000 21642 -0.710448 2.45799 2173.78 1717.35 1 8208 
410000 21642 1.40093 0.434148 3653.12 1695.77 1 8208 
410000 21642 1.394 0.552523 2887.89 1348.21 1 8208 
410000 21642 1.56635 -1.79028 4146.52 1658.36 -1 8208 
410000 21642 -1.76722 -1.13354 4709.05 1562.39 1 8208 
410000 21642 2.00812 -0.679393 5825.75 1535.99 1 8208 
410000 21642 -1.56266 -1.39983 3684.77 1478.45 -1 8208 
410000 21642 -0.737851 -1.37063 1902.54 1476.83 1 8208 
410000 21642 -0.819671 1.03259 2005 1475.93 1 8208 
410000 21642 -0.800111 0.295744 1373.25 1021.38 -1 8208 
410000 21642 -0.894439 1.13808 2063.77 1442.51 -1 8208 
410000 21642 -1.57537 0.824446 3540.02 1403.83 1 8208 
410000 21642 -2.00513 2.76336 5306.2 1402.95 -1 8208 
410000 21642 0.532418 -1.68594 1611.14 1401.68 -1 8208 
410000 21642 -1.67762 -1.76931 3797.23 1370.01 -1 8208 
410000 21642 -2.11557 1.50271 5728.96 1361.22 1 8208 
410000 21642 -1.02716 -2.10144 2120 1342.63 1 8208 
410000 21642 0.723432 0.547213 1682.46 1316.79 1 8208 
410000 21642 -2.27896 -0.158881 6480.76 1313.07 1 8208 
410000 21642 1.01947 0.474893 2058.84 1311.48 1 8208 
410000 21642 1.33606 0.77428 2660.31 1306.47 -1 8208 
410000 21642 -1.91874 -0.603709 4433.91 1273.63 -1 8208 
410000 21642 0.61182 2.31851 1517.6 1266.62 1 8208 
410000 21642 -2.20883 0.828929 5754.68 1248.63 -1 8208 
410000 21642 0.628325 3.06455 1495.81 1236.97 -1 8208 
410000 21642 0.802351 1.23391 1628.7 1211.41 -1 8208 
410000 21642 1.65716 2.50772 3208.3 1179.47 1 8208 
410000 21642 0.184428 1.07672 1183.38 1155.41 1 8208 
410000 21642 2.41647 -2.51158 6428.79 1138.03 -1 8208 
410000 21642 2.40426 -2.18259 3437.29 615.463 1 8208 
410000 21642 0.0120047 -1.63512 1122.39 1113.6 -1 8208 
410000 21642 0.945517 -0.732372 1621.63 1090.67 1 8208 
410000 21642 -1.99008 -1.90161 3927.87 1053.4 -1 8208 
410000 21642 1.80972 -0.428666 3287.35 1047.24 -1 8208 
410000 21642 1.75403 -0.608045 2775.95 931.77 -1 8208 
410000 21642 -0.590158 -1.4943 1214.92 1023.42 1 8208 
410000 21642 -1.923 1.00042 3398.03 971.766 1 8208 
410000 21642 -1.14206 3.03558 1561.3 900.855 1 8208 
410000 21642 -0.520751 -1.31139 1033.18 899.026 1 8208 
410000 21642 0.435474 2.90551 986.769 891.019 1 8208 
410000 21642 -0.643079 0.898122 1013.99 827.301 -1 8208 
410000 21642 2.21807 -2.92612 3843.15 826.083 1 8208 
410000 21642 2.22613 2.82494 3753.98 800.559 -1 8208 
410000 21642 -2.13101 -0.799082 3226.4 754.707 -1 8208 
