runNumber() eventNumber() neutralFE.eta() neutralFE.phi() neutralFE.e() neutralFE.pt() charge() signalType()
410000 21642 -1.81789 1.63358 4210.34 1332.13 0 4112 
410000 21642 -1.96247 -2.89932 4806.89 1324.69 0 4112 
410000 21642 -0.877955 -1.31222 1849.83 1311.19 0 4112 
410000 21642 -0.151148 1.43014 1324.64 1309.65 0 4112 
410000 21642 1.53672 -0.134068 3168.81 1302.86 0 4112 
410000 21642 1.01538 -1.11057 2018.19 1292.6 0 4112 
410000 21642 1.40793 1.96381 2775.98 1281.58 0 4112 
410000 21642 1.18853 2.70958 2279.9 1271.23 0 4112 
410000 21642 1.9568 2.11391 4586.64 1270.9 0 4112 
410000 21642 2.27876 1.12554 6265.13 1269.92 0 4112 
410000 21642 -0.236626 -3.08416 1300.25 1264.68 0 4112 
410000 21642 -2.2501 1.21326 5979.81 1246.56 0 4112 
410000 21642 1.67211 1.00998 3424.4 1242.7 0 4112 
410000 21642 -1.23353 -2.59875 2301.92 1236.07 0 4112 
410000 21642 -0.558899 2.60687 1424.01 1227.28 0 4112 
410000 21642 0.131614 0.158744 1225.14 1214.61 0 4112 
410000 21642 2.13375 -1.15932 5131.4 1198.24 0 4112 
410000 21642 1.01449 2.08498 1805.8 1157.36 0 4112 
410000 21642 1.60116 2.32044 2985.47 1157.07 0 4112 
410000 21642 2.33283 0.598225 6005.39 1154.42 0 4112 
410000 21642 -0.936655 2.90867 1682.91 1143.53 0 4112 
410000 21642 -1.06048 -1.53474 1825.28 1128.79 0 4112 
410000 21642 1.32752 1.19269 2278.02 1128.62 0 4112 
410000 21642 -2.42522 -0.234809 6412.32 1125.64 0 4112 
410000 21642 -2.15659 -2.80783 4773.34 1090.13 0 4112 
410000 21642 -0.125484 -2.30664 1098.08 1089.49 0 4112 
410000 21642 -0.866371 -0.175295 1517.25 1084.24 0 4112 
410000 21642 0.910885 -1.82571 1525.5 1056.19 0 4112 
410000 21642 0.414797 0.646058 1147.68 1055.56 0 4112 
410000 21642 -1.95432 -2.13728 3744.61 1040.05 0 4112 
410000 21642 -2.03091 2.64292 4019.25 1036.92 0 4112 
410000 21642 -1.9813 -1.70442 3823.28 1034.71 0 4112 
410000 21642 2.12911 0.513523 4402.29 1032.64 0 4112 
410000 21642 -1.25334 -0.837023 1937.43 1023.05 0 4112 
410000 21642 -1.8557 0.632698 3336.37 1018.34 0 4112 
410000 21642 2.29678 0.245337 5099.39 1015.55 0 4112 
410000 21642 -0.521303 -1.48831 1153.34 1012.6 0 4112 
410000 21642 2.27441 0.324145 4904.9 998.452 0 4112 
410000 21642 -1.57322 -0.129761 2490.11 990.193 0 4112 
410000 21642 1.9782 2.43212 3629.73 985.262 0 4112 
410000 21642 2.04853 -2.19854 3868.75 981.243 0 4112 
410000 21642 -0.812197 1.12112 1305.18 967.972 0 4112 
410000 21642 0.847874 2.19869 1314.53 951.522 0 4112 
410000 21642 1.46267 -0.751105 2115.12 929.909 0 4112 
410000 21642 -0.438447 0.537663 1020.12 929.35 0 4112 
410000 21642 -2.16327 -2.08475 4011.21 910.141 0 4112 
410000 21642 -1.08558 -2.85364 1500.5 909.705 0 4112 
410000 21642 0.338601 0.32993 961.009 908.434 0 4112 
410000 21642 -0.359831 -2.38616 964.022 904.81 0 4112 
410000 21642 -1.82571 -2.10468 2871.68 901.871 0 4112 
410000 21642 1.38386 0.170316 1874.99 884.243 0 4112 
410000 21642 1.13955 2.53468 1502.04 871.932 0 4112 
410000 21642 -1.36089 -1.99497 1796.5 864.514 0 4112 
410000 21642 2.42524 0.626462 4891.64 858.682 0 4112 
410000 21642 -2.29074 -0.0774531 4273.85 856.189 0 4112 
410000 21642 0.214076 0.111028 856.994 837.725 0 4112 
410000 21642 -0.560165 -2.99187 968.973 834.575 0 4112 
410000 21642 -1.74588 -2.69423 2457.46 832.27 0 4112 
410000 21642 1.86641 2.38113 2712.6 819.548 0 4112 
410000 21642 -0.937339 -3.10511 1203.33 817.247 0 4112 
410000 21642 -1.50854 -3.01112 1935.92 816.607 0 4112 
410000 21642 -0.280588 -1.82207 843.888 811.724 0 4112 
410000 21642 0.731523 1.51448 1034.82 808.636 0 4112 
410000 21642 -1.05661 -2.12267 1303.55 808.599 0 4112 
410000 21642 1.74972 1.99582 2315.34 781.31 0 4112 
410000 21642 -1.42826 -2.94782 1721.6 780.566 0 4112 
410000 21642 -0.166113 1.91893 770.494 759.984 0 4112 
410000 21642 -1.12706 -1.7832 1290.49 756.765 0 4112 
410000 21642 -0.760041 -1.45522 983.41 754.724 0 4112 
410000 21642 0.511493 -0.345871 853.371 752.738 0 4112 
410000 21642 -2.03491 2.98835 2912.44 748.481 0 4112 
410000 21642 -0.811159 0.338641 1005.14 745.967 0 4112 
410000 21642 2.13536 2.79197 3165.52 738.029 0 4112 
410000 21642 2.117 2.21978 3108.27 737.733 0 4112 
410000 21642 -0.450512 -0.242002 804.16 728.928 0 4112 
410000 21642 -2.1761 -2.746 3200.24 717.114 0 4112 
410000 21642 -0.818505 -0.645611 964.607 712.36 0 4112 
410000 21642 1.97745 1.30452 2613.47 709.917 0 4112 
410000 21642 1.46688 2.98643 1611.12 705.654 0 4112 
410000 21642 -2.25079 2.59369 3382.91 704.729 0 4112 
410000 21642 -1.7417 -1.53743 2058.46 699.889 0 4112 
410000 21642 -0.75686 1.18318 906.987 697.492 0 4112 
410000 21642 1.21862 -2.6038 1275.92 693.785 0 4112 
410000 21642 -1.9271 -2.72297 2433.39 693.756 0 4112 
410000 21642 -1.96264 2.62507 2485.81 684.931 0 4112 
410000 21642 1.79024 -0.443115 2076.62 674.465 0 4112 
410000 21642 -1.57398 -1.32526 1695.36 673.697 0 4112 
410000 21642 -0.509743 -1.92637 756.403 667.754 0 4112 
410000 21642 2.23935 1.61028 3164.73 666.701 0 4112 
410000 21642 0.0388436 0.560649 665.317 664.815 0 4112 
410000 21642 -2.27418 -2.90792 3260.26 663.813 0 4112 
410000 21642 0.54865 -1.43997 756.603 655.452 0 4112 
410000 21642 1.18998 -1.11681 1172.88 653.189 0 4112 
410000 21642 0.599159 1.21819 772.415 651.865 0 4112 
410000 21642 -1.81391 -0.862736 2028.78 644.319 0 4112 
410000 21642 1.37997 0.350588 1340.93 634.555 0 4112 
410000 21642 2.33575 -2.79872 3281.23 628.953 0 4112 
410000 21642 -0.233544 -1.03278 634.338 617.424 0 4112 
410000 21642 -2.16405 -1.64006 2719.36 616.552 0 4112 
410000 21642 -2.32628 -1.01215 3182.38 615.701 0 4112 
410000 21642 -2.33921 1.05277 3205.15 612.288 0 4112 
410000 21642 2.10088 1.78963 2521.2 607.833 0 4112 
410000 21642 2.26245 0.392426 2928.85 603.224 0 4112 
410000 21642 2.2556 0.856958 2908.15 602.988 0 4112 
410000 21642 -2.21955 0.550267 2801.54 601.712 0 4112 
410000 21642 -2.05699 -3.09666 2381.64 599.137 0 4112 
410000 21642 -0.555765 -2.6051 687.438 593.41 0 4112 
410000 21642 -2.07658 0.73444 2401.59 592.801 0 4112 
410000 21642 1.21258 2.81006 1081.8 591.214 0 4112 
410000 21642 1.40081 -2.39787 1271.11 590.544 0 4112 
410000 21642 -1.99845 -0.997112 2217.04 590.174 0 4112 
410000 21642 -1.8782 -1.04153 1959.1 585.277 0 4112 
410000 21642 -1.06446 0.832283 938.199 578.388 0 4112 
410000 21642 1.95385 2.31176 2076.33 576.958 0 4112 
410000 21642 -1.85413 1.61828 1868.8 571.257 0 4112 
410000 21642 -0.838787 2.70399 774.659 564.251 0 4112 
410000 21642 -0.1329 -2.01953 565.979 561.017 0 4112 
410000 21642 0.658776 -1.22501 684.597 558.875 0 4112 
410000 21642 1.44889 1.02736 1246.95 555.037 0 4112 
410000 21642 -2.13826 0.24267 2384.56 554.385 0 4112 
410000 21642 -1.23659 -3.0786 1027.86 550.51 0 4112 
410000 21642 0.926327 -0.0105768 784.855 537.346 0 4112 
410000 21642 -0.359279 -2.0145 571.601 536.595 0 4112 
410000 21642 0.588959 0.643957 627.068 532.087 0 4112 
410000 21642 -0.556489 0.439515 612.456 528.491 0 4112 
410000 21642 -0.834081 -1.57795 721.732 527.395 0 4112 
410000 21642 -1.57929 -2.69635 1327.52 524.956 0 4112 
410000 21642 -0.785132 -1.3755 685.882 517.89 0 4112 
410000 21642 1.23633 1.61666 965.405 517.174 0 4112 
410000 21642 -1.13526 1.3156 885.381 515.759 0 4112 
410000 21642 1.58558 3.09693 1305.25 513.176 0 4112 
410000 21642 -2.29567 -1.11803 2570.46 512.464 0 4112 
410000 21642 -3.21301 2.05669 6233.87 500.831 0 4112 
410000 21642 -2.40098 -3.10286 2768 497.635 0 4112 
410000 21642 -1.56916 0.342707 1242.62 495.972 0 4112 
410000 21642 0.867535 1.41692 687.949 491.213 0 4112 
410000 21642 -1.14552 -0.944548 847.933 489.831 0 4112 
410000 21642 -1.33981 1.59008 996.818 488.609 0 4112 
410000 21642 -3.18713 -0.114004 5923.27 488.311 0 4112 
410000 21642 -0.0597691 -1.81472 486.583 485.715 0 4112 
410000 21642 2.44165 -2.08616 2802.75 484.108 0 4112 
410000 21642 -1.94833 0.773331 1732.44 483.959 0 4112 
410000 21642 0.0907154 3.00026 476.737 474.782 0 4112 
410000 21642 2.34105 -0.0554731 2470.05 471.006 0 4112 
410000 21642 -2.40702 1.13783 2630.58 470.127 0 4112 
410000 21642 1.37729 1.03566 983.105 466.326 0 4112 
410000 21642 0.364164 -0.642794 486.883 456.291 0 4112 
410000 21642 -1.31198 1.12006 904.32 454.111 0 4112 
410000 21642 2.38438 -2.02002 2449.11 447.55 0 4112 
410000 21642 -2.12257 0.935045 1894.07 447.12 0 4112 
410000 21642 -2.08059 -1.79515 1790.84 440.333 0 4112 
410000 21642 2.31129 -1.23449 2241.96 440.183 0 4112 
410000 21642 -3.12743 2.09538 5026.14 439.749 0 4112 
410000 21642 0.525241 2.68753 498.143 436.531 0 4112 
410000 21642 0.192543 2.65436 444.144 436.036 0 4112 
410000 21642 -0.380714 2.31724 467.485 435.538 0 4112 
410000 21642 1.44902 2.61635 973.987 433.486 0 4112 
410000 21642 -0.36092 -1.29743 453.971 425.928 0 4112 
410000 21642 2.44668 -2.38916 2465.91 423.822 0 4112 
410000 21642 0.519296 2.80107 475.657 418.016 0 4112 
410000 21642 -0.589835 0.477815 491.556 416.907 0 4112 
410000 21642 1.65168 -1.41839 1123.65 415.594 0 4112 
410000 21642 -1.75537 -2.83608 1223.73 410.756 0 4112 
410000 21642 -1.44363 -0.765257 910.101 407.011 0 4112 
410000 21642 1.2758 -0.729548 781.887 405.04 0 4112 
410000 21642 1.05723 1.99202 649.798 402.875 0 4112 
410000 21642 -1.3084 -1.41789 797.601 401.762 0 4112 
410000 21642 1.56795 0.845183 997.689 398.656 0 4112 
410000 21642 -1.57577 0.656203 1003.38 398.064 0 4112 
410000 21642 -2.23779 1.00158 1885.51 397.815 0 4112 
410000 21642 1.06944 1.70472 643.386 395.086 0 4112 
410000 21642 2.12233 1.81786 1659.04 391.73 0 4112 
410000 21642 -1.33239 3.01216 789.818 389.654 0 4112 
410000 21642 2.04373 2.61362 1489.28 379.487 0 4112 
410000 21642 0.0955319 -2.41329 379.281 377.557 0 4112 
410000 21642 1.6901 0.344845 1055.74 376.745 0 4112 
410000 21642 1.97729 -1.03434 1385.49 376.411 0 4112 
410000 21642 1.28605 -2.88785 730.335 375.027 0 4112 
410000 21642 -1.23514 -1.55466 692.019 371.089 0 4112 
410000 21642 2.19553 -1.29708 1670.55 367.311 0 4112 
410000 21642 -0.465978 1.32848 407.625 367.049 0 4112 
410000 21642 -2.1937 1.4123 1659.2 365.47 0 4112 
410000 21642 -0.132445 -2.48955 367.301 364.103 0 4112 
410000 21642 0.261436 0.528592 366.623 354.441 0 4112 
410000 21642 1.34066 -0.187796 714.818 350.123 0 4112 
410000 21642 -0.889903 1.24367 492.668 346.268 0 4112 
410000 21642 -1.76855 0.438514 1040.76 345.029 0 4112 
410000 21642 1.55074 -0.613178 832.994 338.13 0 4112 
410000 21642 -1.36028 0.640815 701.532 337.773 0 4112 
